标题： 生活大爆炸刚看完！谢尔顿性格埋可爱ớ ₃ờ！各位对不对？	 链接：http://tieba.baidu.com//p/5658743255	 发帖人：活宝姓彤霞	 发帖时间：4-20	 回复数量：4
标题： 这集新出来的这个收银员长得好高啊	 链接：http://tieba.baidu.com//p/5658569974	 发帖人：不羁之...	 发帖时间：4-20	 回复数量：0
标题： 【TBBT】S11E15熟肉	 链接：http://tieba.baidu.com//p/5545708275	 发帖人：玺子	 发帖时间：2-8	 回复数量：42
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5658196320	 发帖人：你的小掰呀	 发帖时间：4-20	 回复数量：2
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5657933812	 发帖人：你的小掰呀	 发帖时间：4-20	 回复数量：2
标题： 真的有地方可以领Vx 红 包，操作太简单了	 链接：http://tieba.baidu.com//p/5657979080	 发帖人：我系小蚊...	 发帖时间：4-20	 回复数量：0
标题： 谁知道这个剧到底是不是最后一季？	 链接：http://tieba.baidu.com//p/4961562510	 发帖人：asdbn123	 发帖时间：2017-01	 回复数量：18
标题： 在CBS官网买了几件衣服	 链接：http://tieba.baidu.com//p/5644054380	 发帖人：sunnny478	 发帖时间：4-11	 回复数量：11
标题： 有谁知道拉杰追求一位扫地大妈是哪一季的哪一集吗？	 链接：http://tieba.baidu.com//p/5656349777	 发帖人：小布and展博	 发帖时间：4-19	 回复数量：2
标题： 霍金是要一直活在大爆炸里吗	 链接：http://tieba.baidu.com//p/5650270429	 发帖人：OctomaRon	 发帖时间：4-15	 回复数量：6
标题： 大家觉得生活大爆炸和少年谢尔顿哪个好看？	 链接：http://tieba.baidu.com//p/5656191418	 发帖人：Jennifer_Tung	 发帖时间：4-19	 回复数量：12
标题： 生活大爆炸 sheldon的姐姐	 链接：http://tieba.baidu.com//p/3811370262	 发帖人：蜂蜜玫瑰...	 发帖时间：2015-06	 回复数量：13
标题： 莱丝莉是凶手！	 链接：http://tieba.baidu.com//p/5645728889	 发帖人：fswudi	 发帖时间：4-12	 回复数量：3
标题： 大家觉得那个字幕组做的生活大爆炸最好?	 链接：http://tieba.baidu.com//p/874616236	 发帖人：毅将春水...	 发帖时间：2013-08	 回复数量：35
标题： 第十季艾米撒谎公寓没修好那集里谢耳朵的克林贡语片段笑尿	 链接：http://tieba.baidu.com//p/5654075080	 发帖人：zchtoy	 发帖时间：4-18	 回复数量：2
标题： 看了耳朵去年的电影，继《当幸福来敲门》后我第二喜欢的传记电影	 链接：http://tieba.baidu.com//p/5621897961	 发帖人：lunan8619	 发帖时间：3-28	 回复数量：11
标题： 谢耳朵的妹妹，实在抢手	 链接：http://tieba.baidu.com//p/5288535655	 发帖人：木头人大...	 发帖时间：2017-08	 回复数量：12
标题： 谢尔顿讲黄笑话哈哈哈哈，对艾米的诱惑真的这么大吗	 链接：http://tieba.baidu.com//p/5550031261	 发帖人：hey借个微笑	 发帖时间：2-12	 回复数量：26
